STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
1914,避免,bìmiǎn,Động từ,TỊ MIỄN,"tránh, ngăn ngừa, phòng ngừa",avoid,,FALSE,,
1915,化妆品,huàzhuāngpǐn,Danh từ,HÓA TRANG PHẨM,đồ trang điểm,cosmetic,,FALSE,,
1916,独特,dútè,Tính từ,ĐỘC ĐẶC,"độc đáo, đặc biệt",unique,,FALSE,,
1917,爱护,àihù,Động từ,ÁI HỘ,"trân trọng, yêu thương, giữ gìn",cherish,,FALSE,,
1918,劳累,láolèi,Tính từ,LAO LỤY,"mệt mỏi, mệt nhọc, kiệt sức",Exhaustion,,FALSE,,
1919,录音,lùyīn,"Danh từ, Động từ",LỤC ÂM,(n): bản ghi âm; (v): ghi âm,recording,,FALSE,,
1920,道理,dàoli,Danh từ,ĐẠO LÝ,"quy luật, nguyên tắc, quy tắc; đạo lý, lý lẽ",reason,,FALSE,,
1921,延期,yánqī,Động từ,DIÊN KỲ,"kéo dài, gia hạn",postpone,,FALSE,,
1922,应用,yìngyòng,Động từ,ỨNG DỤNG,"sử dụng, áp dụng",application,,FALSE,,
1923,状态,zhuàngtài,Danh từ,TRẠNG THÁI,"trạng thái, trình trạng",state,,FALSE,,
1924,尽情,jìnqíng,Phó từ,TẬN TÌNH,"thoải mái, thả ga, thỏa thích, tha hồ, hết mình",Enjoy,,FALSE,,
1925,幼儿园,yòuéryuán,Danh từ,ẤU NHI VIÊN,trường mẫu giáo,kindergarten,,FALSE,,
1926,促销,cùxiāo,Động từ,XÚC TIÊU,khuyến mãi,Promotion,,FALSE,,
1927,优惠,yōuhuì,Tính từ,ƯU HUỆ,ưu đãi,discount,,FALSE,,
1928,博客,bókè,Danh từ,BÁC KHÁCH,blog,blog,,FALSE,,
1929,农历,nónglì,Danh từ,NÔNG LỊCH,âm lịch,lunar calendar,,FALSE,,
1930,恭喜,gōngxǐ,Động từ,CUNG HỶ,chúc mừng (đứng đầu câu để chúc mừng ai đó),Congratulations,,FALSE,,
1931,受伤,shòushāng,Động từ,THỤ THƯƠNG,bị thương,Injuried,,FALSE,,
1932,预防,yùfáng,Động từ,DỰ PHÒNG,"ngăn ngừa, phòng ngừa, ngừa (bệnh)",prevention,,FALSE,,
1933,充足,chōngzú,Tính từ,SUNG TÚC,đầy đủ,adequate,,FALSE,,
1934,加强,jiāqiáng,Động từ,GIA CƯỜNG,"tăng cường, củng cố",strengthen,,FALSE,,
1935,动画片,dònghuàpiàn,Danh từ,ĐỘNG HỌA PHIẾN,phim hoạt hình,cartoon,,FALSE,,
1936,灰太狼,huītàiláng,Danh từ,HÔI THÁI LANG,sói xám,Grey Wolf,,FALSE,,
1937, 怪不得,  guàibude,"Phó từ, Động từ",QUÁI BẤT ĐẮC,"thảo nào, hèn chi, chả trách; không nên trách",No wonder,,FALSE,,
1938,元旦,yuándàn,Danh từ,NGUYÊN ĐÁN,"Tết Dương lịch, Tết Tây",New Year,,FALSE,,
1939,指导,zhǐdǎo,Động từ,CHỈ ĐẠO,"chỉ đạo, hướng dẫn, chỉ bảo",guide,,FALSE,,
1940,学历,xuélì,Danh từ,HỌC LỊCH,trình độ học vấn,Education,,FALSE,,
1941,净化,jìnghuà,Động từ,TỊNH HÓA,"làm sạch, lọc sạch",Purification,,FALSE,,
1942,美化,měihuà,Động từ,MỸ HÓA,"làm đẹp, điểm tô, làm cho cái gì đó đẹp lên",beautify,,FALSE,,
1943,有利于,yǒulìyú,Động từ,HỮU LỢI VU,có lợi cho + N,Beneficial,,FALSE,,
1944,改造,gǎizào,Động từ,CẢI TẠO,cải tạo,Transformation,,FALSE,,
1945,政府,zhèngfǔ,Danh từ,CHÍNH PHỦ,chính phủ,government,,FALSE,,
1946,乐观,lèguān,Tính từ,LẠC QUAN,lạc quan,optimism,,FALSE,,
1947,悲观,bēiguān,Tính từ,BI QUAN,bi quan,pessimistic,,FALSE,,
1948,课外活动,kèwàihuódòng,Danh từ,KHÓA NGOẠI HOẠT ĐỘNG,hoạt động ngoại khoá,Extracurricular activities,,FALSE,,
1949,俱乐部,jùlèbù,Danh từ,CÂU LẠC BỘ,câu lạc bộ,club,,FALSE,,
1950,歌手,gēshǒu,Danh từ,CA THỦ,ca sĩ,singer,,FALSE,,
1951,愿望,yuànwàng,Danh từ,NGUYỆN VỌNG,"nguyện vọng, ước mơ",desire,,FALSE,,
1952,连续,liánxù,Động từ,LIÊN TỤC,"liên tục, liên tiếp",continuous,,FALSE,,
1953,被评为,bèi píngwéi,Động từ,BỊ BÌNH VI,"được bầu chọn, được chọn là",Rated as,,FALSE,,
1954,陆地,lùdì,Danh từ,LỤC ĐỊA,"lục địa, đất liền",land,,FALSE,,
1955,适应能力,shìyìngnénglì,Danh từ,THÍCH ỨNG NĂNG LỰC,"khả năng thích nghi, năng lực thích ứng",adaptability,,FALSE,,
1956,分布,fēnbù,Động từ,PHÂN BỐ,phân bố,distributed,,FALSE,,
1957,广泛,guǎngfàn,Tính từ,QUẢNG PHIẾM,"phổ biến, rộng rãi, rộng khắp, rộng lớn",widely,,FALSE,,
1958,缺乏,quēfá,Động từ,KHUYẾT PHẠP,"thiếu hụt, khan hiếm, thiếu, không đủ",lack,,FALSE,,
1959,懂事,dǒngshì,Tính từ,ĐỔNG SỰ,hiểu chuyện,sensible,,FALSE,,
1960,嫉妒,jídù,Động từ,TẬT ĐỐ,"đố kỵ, ghen tị, ghen ghét",envy,,FALSE,,
1961,设施,shèshī,Danh từ,THIẾT THI,"thiết bị, cơ sở hạ tầng",facility,,FALSE,,
1962,冰激凌,bīngjīlíng,Danh từ,BĂNG KÍCH LĂNG,"kem ly, kem cốc",ice cream,,FALSE,,
1963,出身,chūshēn,"Danh từ, Động từ",XUẤT THÂN,"(v): xuất thân; (n): xuất thân, lai lịch",origin,,FALSE,,
1964,重庆,chóngqìng,Danh từ,TRÙNG KHÁNH,Trùng Khánh,Chongqing,,FALSE,,
1965,规律,guīlǜ,Danh từ,QUY LUẬT,quy luật,law,,FALSE,,
1966,相当,xiāngdāng,"Động từ, Tính từ",TƯƠNG ĐƯƠNG,"(v): tương đương, ngang nhau; (adv): khá, tương đối; (adj): tương xứng, phù hợp",quite,,FALSE,,
1967,茂盛,màoshèng,Tính từ,MẬU THỊNH,"xanh tươi, tươi tốt; thịnh vượng, hưng thịnh",lush,,FALSE,,
1968,呼吸,hūxī,Động từ,HÔ HẤP,"hít thở, thở, hô hấp",breathe,,FALSE,,
1969,危害,wēihài,"Danh từ, Động từ",NGUY HẠI,"(n): nguy cơ, nguy hại, mối nguy, tác hại; (v): làm hại, gây hại, tổn hại",harm,,FALSE,,
1970,仙人掌,xiānrénzhǎng,Danh từ,TIÊN NHÂN CHƯỞNG,cây xương rồng,cactus,,FALSE,,
1971,酿酒,niàngjiǔ,Động từ,NHƯỠNG TỬU,"ngâm rượu, ủ rượu",Brewing,,FALSE,,
1972,专家,zhuānjiā,Danh từ,CHUYÊN GIA,chuyên gia,expert,,FALSE,,
1973,缓解,huǎnjiě,Động từ,HOÃN GIẢI,"làm dịu, xoa dịu, giảm bớt, giảm đi",ease,,FALSE,,
1974,通信,tōngxìn,Động từ,THÔNG TÍN,"liên lạc, thư từ qua lại; truyền tin, truyền thông",communication,,FALSE,,
1975,设备,shèbèi,"Danh từ, Động từ",THIẾT BỊ,(n): thiết bị; (v): trang bị,equipment,,FALSE,,
1976,普及率,pǔjílǜ,Danh từ,PHỔ CẬP LUẬT,"độ phổ biến, tỷ lệ phổ biến",Popularity,,FALSE,,
1977,深入,shēnrù,Động từ,THÂM NHẬP,"thâm nhập, đi sâu vào",In-depth,,FALSE,,
1978,山区,shānqū,Danh từ,SƠN KHU,"vùng núi, miền núi",mountainous areas,,FALSE,,
1979,地形,dìxíng,Danh từ,ĐỊA HÌNH,địa hình,terrain,,FALSE,,
1980,用途,yòngtú,Danh từ,DỤNG ĐỒ,"công dụng, ứng dụng, cách sử dụng",use,,FALSE,,
1981,外界,wàijiè,Danh từ,NGOẠI GIỚI,"bên ngoài (thế giới bên ngoài, ngoài xã hội, ngoài kia...)",outside world,,FALSE,,
1982,彼此,bǐcǐ,Đại từ,BỈ THỬ,"nhau, hai bên, lẫn nhau",each other,,FALSE,,
1983,平静,píngjìng,Tính từ,BÌNH TĨNH,"bình tĩnh; yên ả, phẳng lặng, yên ổn, thanh bình",calm,,FALSE,,
1984,亲爱,qīnài,Tính từ,THÂN ÁI,"thân yêu, thân thương, yêu quý, 亲爱的 + N",dear,,FALSE,,
1985,一旁,yīpáng,Danh từ,NHẤT BÀNG,bên cạnh,Beside,,FALSE,,
1986,岛,dǎo,Danh từ,ĐẢO,"đảo, hòn đảo (lượng từ: 个、座)",island,,FALSE,,
1987,珍贵,zhēnguì,Tính từ,TRÂN QUÝ,"quý báu, quý giá",precious,,FALSE,,
1988,拜访,bàifǎng,Động từ,BÁI PHỎNG,"thăm, viếng thăm, kính thăm",visit,,FALSE,,
1989,客户,kèhù,Danh từ,KHÁCH HỘ,khách hàng,client,,FALSE,,
1990,犹豫,yóuyù,Tính từ,DO DỰ,"do dự, lưỡng lự, chần chừ",hesitate,,FALSE,,
1991,公民,gōngmín,Danh từ,CÔNG DÂN,công dân,citizen,,FALSE,,
1992,威尼斯,wēinísī,Danh từ,UY NI TƯ,Venice - thành phố nổi tiếng nước Ý,Venice,,FALSE,,
1993,开幕,kāimù,Động từ,KHAI MẠC,khai mạc,Opening,,FALSE,,
1994,四处,sìchù,Phó từ,TỨ XỨ,"khắp nơi, tứ xứ",around,,FALSE,,
1995,哈尔滨,hāěrbīn,Danh từ,CÁP NHĨ TÂN,"Cáp Nhĩ Tân (thuộc tỉnh Hắc Long Giang, Trung Quốc)",Harbin,,FALSE,,
1996,付出,fùchū,Động từ,PHÓ XUẤT,"trả giá, bỏ ra, đánh đổi, hy sinh",pay,,FALSE,,
1997,亲切,qīnqiè,Tính từ,THÂN THIẾT,"thân thiết, thân mật, thân tình, gần gũi",kind,,FALSE,,
1998,社区,shèqū,Danh từ,XÃ KHU,"phường, khu dân cư",Community,,FALSE,,
1999,事故,shìgù,Danh từ,SỰ CỐ,"tai nạn, sự cố (交通事故：tai nạn giao thông)",ACCIDENT,,FALSE,,
2000,图片,túpiàn,Danh từ,ĐỒ PHIẾN,"bức ảnh, bức tranh",picture,,FALSE,,
2001,今后,jīnhòu,Danh từ,KIM HẬU,"sau này, về sau, từ nay về sau",from now on,,FALSE,,
2002,秩序,zhìxù,Danh từ,TRẬT TỰ,trật tự,order,,FALSE,,
2003,珍爱,zhēnài,Động từ,TRÂN ÁI,"trân trọng, yêu quý, trân quý",cherish,,FALSE,,
2004,清淡,qīngdàn,Tính từ,THANH ĐẠM,"nhẹ, loãng, nhạt, lạt, thoang thoảng (màu, mùi vị); thanh đạm (thức ăn)",light,,FALSE,,
2005,可口,kěkǒu,Tính từ,KHẢ KHẨU,"ngon miệng, vừa miệng, rất ngon",tasty,,FALSE,,
2006,卫生局,wèishēngjú,Danh từ,VỆ SINH CỤC,cục vệ sinh,Health Bureau,,FALSE,,
2007,开展,kāizhǎn,Động từ,KHAI TRIỂN,triển khai,Carry out,,FALSE,,
2008,命运,mìngyùn,Danh từ,MỆNH VẬN,"vận mệnh, số mệnh, số phận",destiny,,FALSE,,
2009,提升,tíshēng,Động từ,ĐỀ THĂNG,"nâng cao, hoàn thiện, nâng cấp, cải thiện",promote,,FALSE,,
2010,发生意外事故,fāshēng yìwàishìgù,Động từ,PHÁT SINH Ý NGOẠI SỰ CỐ,xảy ra tai nạn ngoài ý muốn,Accident,,FALSE,,
2011,货物,huòwù,Danh từ,HÓA VẬT,hàng hóa,goods,,FALSE,,
2012,宅男,zhái nán,Danh từ,TRẠCH NAM,"trạch nam (con trai lười, suốt ngày ở nhà chơi game, ngủ, không có công việc hay đi học)",Otaku,,FALSE,,
2013,失业,shīyè,"Động từ, Tính từ",THẤT NGHIỆP,thất nghiệp,unemployment,,FALSE,,
2014,教书,jiāoshū,Động từ,GIÁO THƯ,"dạy học, giảng dạy",Teaching,,FALSE,,
2015,教师,jiàoshī,Danh từ,GIÁO SƯ,"giáo viên, nhà giáo",teacher,,FALSE,,
2016,四部,sìbù,Danh từ,TÂY BỘ,miền Tây,Four parts,,FALSE,,
2017,顾问,gùwèn,Danh từ,CỐ VẤN,cố vấn,consultant,,FALSE,,
2018,县,xiàn,Danh từ,HUYỆN,huyện,county,,FALSE,,
2019,模拟,mónǐ,Động từ,MÔ NGHĨ,"mô phỏng, bắt chước, phỏng theo",simulation,,FALSE,,
2020,试卷,shìjuàn,Danh từ,THÍ QUYỂN,"bài thi, bài kiểm tra, đề thi",Exam paper,,FALSE,,
2021,急事,jíshì,Danh từ,CẤP SỰ,việc gấp,Urgent,,FALSE,,
2022,红玫瑰,hóngméiguī,Danh từ,HỒNG MAI CÔI,hoa hồng đỏ,Red Roses,,FALSE,,
2023,主角,zhǔjué,Danh từ,CHỦ GIÁC,"nhân vật chính, vai chính",main character,,FALSE,,
2024,待遇,dàiyù,Danh từ,ĐÃI NGỘ,đãi ngộ,treatment,,FALSE,,
2025,收集,shōují,Động từ,THU TẬP,"thu thập, thu gom",collect,,FALSE,,
2026,仍,réng,Phó từ,NHƯNG,vẫn,still,,FALSE,,
2027,智慧,zhìhuì,Danh từ,TRÍ TUỆ,"trí tuệ, trí khôn",wisdom,,FALSE,,
2028,散发,sànfā,Động từ,TÁN PHÁT,"tỏa ra, phát ra (mùi, hương)",Disperse,,FALSE,,
2029,办理,bànlǐ,Động từ,BIỆN LÝ,"làm, giải quyết, thực hiện (thủ tục)",Processing,,FALSE,,
2030,车祸,chēhuò,Danh từ,XA HỌA,tai nạn giao thông,Car accident,,FALSE,,
2031,探亲,tànqīn,Động từ,THÁM THÂN,"thăm người thân, thăm nhà, thăm gia đình",Visiting relatives,,FALSE,,
2032,维护,wéihù,Động từ,DUY HỘ,"bảo vệ, giữ gìn, duy trì",maintain,,FALSE,,
2033,自觉,zìjué,"Động từ, Tính từ",TỰ GIÁC,"(v): tự cảm thấy; (adj): tự giác, tự ý thức",conscious,,FALSE,,
2034,保险,bǎoxiǎn,Danh từ,BẢO HIỂM,bảo hiểm,Insurance,,FALSE,,
2035,充实,chōngshí,"Tính từ, Động từ",SUNG THỰC,"(adj): phong phú, đầy đủ; (v): tăng cường, nâng cao, bổ sung, trau dồi",Enrich,,FALSE,,
2036,以免,yǐmiǎn,Liên từ,DĨ MIỄN,"để tránh, để khỏi phải, để không phải",so as not to,,FALSE,,
2037,喝醉,hēzuì,Động từ,HÁT TÚY,"uống say, say rượu",drunk,,FALSE,,
2038,称赞,chēngzàn,Động từ,XƯNG TÁN,"khen ngợi, tán thưởng",commend,,FALSE,,
2039,生动,shēngdòng,Tính từ,SINH ĐỘNG,"sinh động, sống động",vivid,,FALSE,,
2040,持续,chíxù,Động từ,TRÌ TỤC,"duy trì, kéo dài, tiếp tục, liên tục, tiếp diễn",continued,,FALSE,,
2041,降温,jiàngwēn,Động từ,GIÁNG ÔN,"hạ nhiệt, giảm nhiệt",Cooling,,FALSE,,
2042,深夜,shēnyè,Danh từ,THÂM DẠ,"đêm khuya, nửa đêm",late at night,,FALSE,,
2043,相处,xiāngchǔ,Động từ,TƯƠNG XỬ,sống chung với nhau,get along,,FALSE,,
2044,运输,yùnshū,Động từ,VẬN THÂU,"vận chuyển, vận tải",transportation,,FALSE,,
2045,晒干,shàigān,Động từ,SÁI CAN,"phơi khô, phơi nắng",sun-dried,,FALSE,,
2046,则,zé,Liên từ,TẮC,thì,but,,FALSE,,
2047,规则,guīzé,Danh từ,QUY TẮC,quy tắc,rule,,FALSE,,
2048,具备,jùbèi,Động từ,CỤ BỊ,"có, có sẵn, có đủ",have,,FALSE,,
2049,普及,pǔjí,"Động từ, Tính từ",PHỔ CẬP,"(v): phổ cập, phổ biến; (adj): phổ biến",universal,,FALSE,,
2050,联欢,liánhuān,Động từ,LIÊN HOAN,liên hoan,party,,FALSE,,
2051,破坏,pòhuài,Động từ,PHÁ HOẠI,"phá hoại, phá hủy, làm hỏng; vi phạm, làm trái (quy định)",destroy,,FALSE,,
2052,偷,tōu,Động từ,THÂU,"trộm, ăn trộm",steal,,FALSE,,
2053,口袋,kǒudài,Danh từ,KHẨU ĐẠI,"túi áo, túi quần",pocket,,FALSE,,
2054,小偷,xiǎotōu,Danh từ,TIỂU THÂU,"tên trộm, kẻ trộm, thằng ăn trộm",Thief,,FALSE,,
2055,棕色,zōngsè,Danh từ,TÔNG SẮC,màu nâu,brown,,FALSE,,
2056,上升,shàngshēng,Động từ,THƯỢNG THĂNG,"lên cao, dâng lên, tăng lên (trái nghĩa: 降落、下降)",rise,,FALSE,,
2057,融化,rónghuà,Động từ,DUNG HÓA,"tan chảy, tan ra (băng, tuyết...)",melt,,FALSE,,
2058,乘凉,chéngliáng,Động từ,THỪA LƯƠNG,"ngồi hóng mát, ngồi hóng gió",Enjoying the cool,,FALSE,,
2059,下降,xiàjiàng,Động từ,HẠ GIÁNG,"giảm sút, giảm đi, hạ xuống, hạ thấp",decline,,FALSE,,
2060,山顶,shāndǐng,Danh từ,SƠN ĐỈNH,đỉnh núi,Mountain Top,,FALSE,,
2061,属于,shǔyú,Động từ,THUỘC VU,"thuộc về, là của",belong,,FALSE,,
2062,戒掉,jièdiào,Động từ,GIỚI ĐIỆU,"từ bỏ, cai nghiện = give up",Quit,,FALSE,,
2063,除非,chúfēi,Liên từ,TRỪ PHI,"trừ phi, trừ khi, nếu không = unless",unless,,FALSE,,
2064,忍不住,rěnbuzhù,Động từ,NHẪN BẤT TRÚ,"chịu không nổi, không nhịn được",I couldn't help it,,FALSE,,
2065,盼望,pànwàng,Động từ,PHÁN VỌNG,"trông mong,  mong đợi, trông chờ",Hope,,FALSE,,
2066,遗憾,yíhàn,"Tính từ, Danh từ",DI HÁM,"đáng tiếc, tiếc nuối, tiếc; sự tiếc nuối (văn viết, sắc thái mạnh hơn 可惜)",Pity,,FALSE,,
2067,凡是,fánshì,Phó từ,PHÀM THỊ,"hễ là, cứ là, chỉ cần là",all,,FALSE,,
2068,名牌,míngpái,Danh từ,DANH BÀI,"hàng hiệu, thương hiệu nổi tiếng; bảng tên",famous brand,,FALSE,,
2069,服装,fúzhuāng,Danh từ,PHỤC TRANG,trang phục,clothing,,FALSE,,
2070,趋势,qūshì,Danh từ,XU THẾ,"xu thế, xu hướng, khuynh hướng",trend,,FALSE,,
2071,兄妹,xiōngmèi,Danh từ,HUYNH MUỘI,anh chị em,Brother and sister,,FALSE,,
2072,长处,chángchù,Danh từ,TRƯỞNG XỨ,"sở trường, điểm mạnh",Strengths,,FALSE,,
2073,敢于,gǎnyú,Động từ,CẢM VU,dám,Dare,,FALSE,,
2074,性情,xìngqíng,Danh từ,TÍNH TÌNH,"tính tình, tính nết",temperament,,FALSE,,
2075,柔顺,róushùn,Tính từ,NHU THUẬN,"nhu mì, dịu hiền, hiền thục",Soft,,FALSE,,
2076,受欢迎,shòuhuānyíng,Tính từ,THỤ HOAN NGHÊNH,"được yêu thích, được ưa chuộng, được đón nhận",popular,,FALSE,,
2077,温顺,wēnshùn,Tính từ,ÔN THUẬN,ngoan ngoãn,docile,,FALSE,,
2078,老鼠,lǎoshǔ,Danh từ,LÃO THỬ,"con chuột, chuột",mouse,,FALSE,,
2079,寿命,shòumìng,Danh từ,THỌ MỆNH,"tuổi thọ, thọ mạng",life,,FALSE,,
2080,照料,zhàoliào,Động từ,CHIẾU LIỆU,"chăm sóc, coi sóc, quan tâm lo liệu (đối tượng là người không có năng lực tự chăm sóc bản thân, cần chăm sóc thời gian dài)",care,,FALSE,,
2081,长寿,chángshòu,Tính từ,TRƯỜNG THỌ,"sống lâu, sống thọ, trường thọ",longevity,,FALSE,,
2082,个人,gèrén,Danh từ,CÁ NHÂN,cá nhân,personal,,FALSE,,
2083,时刻,shíkè,"Danh từ, Phó từ",THÌ KHẮC,"(n): thời khắc, thời điểm, lúc đó, khoảnh khắc; (adv): luôn, mọi lúc, lúc nào cũng",time,,FALSE,,
2084,痛快,tòngkuài,Tính từ,THỐNG KHOÁI,"vui vẻ, sảng khoái; thỏa sức; thẳng thắn, dứt khoát, thoải mái",happy,,FALSE,,
2085,平淡,píngdàn,Tính từ,BÌNH ĐẠM,"bình thường, bình dị, nhạt nhẽo",dull,,FALSE,,
2086,角色,juésè,Danh từ,GIÁC SẮC,"vai diễn, nhân vật; vai trò",Role,,FALSE,,
2087,贴,tiē,Động từ,THIẾP,dán,stick,,FALSE,,
2088,对联,duìlián,Danh từ,ĐỐI LIÊN,câu đối,couplet,,FALSE,,
2089,观察,guānchá,Động từ,QUAN SÁT,quan sát,observe,,FALSE,,
2090,寻找,xúnzhǎo,Động từ,TẦM TRẢO,"tìm kiếm, tìm tòi",Search,,FALSE,,
2091,开朗,kāilǎng,Tính từ,KHAI LÃNG,"rộng rãi, sáng sủa; vui vẻ, cởi mở, hòa đồng",cheerful,,FALSE,,
2092,游览,yóulǎn,Động từ,DU LÃM,"tham quan, du ngoạn, đi chơi",tour,,FALSE,,
2093,雷峰塔,léifēngtǎ,Danh từ,LÔI PHONG THÁP,"Tháp Lôi Phong (biểu tượng của Hàng Châu, từ LPT có thể nhìn thấy Tây Hồ)",Leifeng Pagoda,,FALSE,,
2094,调皮,tiáopí,Tính từ,ĐIỀU BÌ,"nghịch ngợm, tinh nghịch; bướng bỉnh, láu cá",Naughty,,FALSE,,
2095,体育场,tǐyùchǎng,Danh từ,THỂ DỤC TRƯỜNG,sân vận động,stadium,,FALSE,,
2096,奥林匹克,àolínpǐkè,Danh từ,ÁO LÂM THẤT KHẮC,"Olympic, thế vận hội Olympic",Olympic,,FALSE,,
2097,开闭幕式,kāi bìmùshì,Danh từ,KHAI BẾ MẠC THỨC,lễ khai mạc và bế mạc,Opening and closing ceremonies,,FALSE,,
2098,临时,línshí,"Phó từ, Tính từ",TẠM THÌ,"tạm thời, lâm thời",temporary,,FALSE,,
2099,开放,kāifàng,Động từ,KHAI PHÓNG,(hoa) nở rộ; mở cửa,open,,FALSE,,
2100,沙漠,shāmò,Danh từ,SA MẠC,sa mạc,desert,,FALSE,,
2101,满足,mǎnzú,Động từ,MÃN TÚC,"thỏa mãn, hài lòng; đáp ứng, làm thỏa mãn (ước muốn)",satisfy,,FALSE,,
2102,急忙,jímáng,Phó từ,CẤP MANG,"vội vàng, vội vã",hastily,,FALSE,,
2103,沉默,chénmò,"Tính từ, Động từ",TRẦM MẶC,"(adj): ít nói, im lặng, trầm lặng; (v): im lặng",silence,,FALSE,,
2104,沉重,chénzhòng,Tính từ,TRẦM TRỌNG,"nặng nề, nặng trĩu (tâm trạng, lòng dạ)",heavy,,FALSE,,
2105,专长,zhuāncháng,Danh từ,CHUYÊN TRƯỜNG,"chuyên môn, sở trường",Specialty,,FALSE,,
2106,抓紧,zhuājǐn,Động từ,TRẢO KHẨN,"tranh thủ, tận dụng, nắm lấy, nắm bắt",pay close attention,,FALSE,,
2107,恢复,huīfù,Động từ,KHÔI PHỤC,"phục hồi, khôi phục, trở lại bình thường",recover,,FALSE,,
2108,周到,zhōudào,Tính từ,CHU ĐÁO,chu đáo,thoughtful,,FALSE,,
2109,诚恳,chéngkěn,Tính từ,THÀNH KHẨN,"chân thành, thành thật, thật thà",sincere,,FALSE,,
2110,耽误,dānwu,Động từ,ĐAM NGỘ,"trễ, để lỡ, làm lỡ",hold up,,FALSE,,
2111,公益,gōngyì,Danh từ,CÔNG ÍCH,công ích (hoạt động vì lợi ích chung),Public welfare,,FALSE,,
2112,支援,zhīyuán,Động từ,CHI VIỆN,"chi viện, giúp đỡ",support,,FALSE,,
2113,热带,rèdài,Danh từ,NHIỆT ĐỚI,nhiệt đới (kiểu khí hậu),tropical,,FALSE,,
2114,终年,zhōngnián,Danh từ,CHUNG NIÊN,"quanh năm, suốt năm",throughout the year,,FALSE,,
2115,胜地,shèngdì,Danh từ,THẮNG ĐỊA,thắng cảnh,resort,,FALSE,,
2116,唯一,wéiyī,Tính từ,DUY NHẤT,duy nhất,only,,FALSE,,
2117,强度,qiángdù,Danh từ,CƯỜNG ĐỘ,cường độ,strength,,FALSE,,
2118,加工,jiāgōng,Động từ,GIA CÔNG,gia công,Processing,,FALSE,,
2119,零件,língjiàn,Danh từ,LINH KIỆN,linh kiện,Component,,FALSE,,
2120,动脑,dòngnǎo,Động từ,ĐỘNG NÃO,"động não, suy nghĩ",Use your brain,,FALSE,,
2121,签名,qiānmíng,"Động từ, Danh từ",THIÊM DANH,ký tên; chữ ký,sign,,FALSE,,
2122,纠正,jiūzhèng,Động từ,CỦ CHÍNH,"sửa sai, uốn nắn, sửa chữa (lỗi sai)",correct,,FALSE,,
2123,改正,gǎizhèng,Động từ,CẢI CHÍNH,sửa chữa,correct,,FALSE,,
2124,香滑,xiānghuá,Tính từ,HƯƠNG HOẠT,mịn màng,smooth,,FALSE,,
2125,澳门,àomén,Danh từ,ÁO MÔN,Macau,Macao,,FALSE,,
2126,全国,quánguó,Danh từ,TOÀN QUỐC,"toàn quốc, cả nước",Nationwide,,FALSE,,
2127,晴好,qínghǎo,Danh từ,TỈNH HẢO,thời tiết đẹp,fine,,FALSE,,
2128,降雨量,jiàngyǔliàng,Danh từ,GIÁNG VŨ LƯỢNG,lượng mưa,Rainfall,,FALSE,,
2129,新疆,xīnjiāng,Danh từ,TÂN CƯƠNG,Tân Cương,Xinjiang,,FALSE,,
2130,东北部,dōngběibù,Danh từ,ĐÔNG BẮC BỘ,Đông Bắc Bộ,Northeast,,FALSE,,
2131,阵雨,zhènyǔ,Danh từ,TRẬN VŨ,"mưa rào, cơn mưa",shower,,FALSE,,
2132,逐步,zhúbù,Phó từ,TRỤC BỘ,"từng bước, từ từ, dần dần",Gradually,,FALSE,,
2133,回升,huíshēng,Động từ,HỒI THĂNG,"tăng trở lại, tăng lên",rebound,,FALSE,,
2134,事项,shìxiàng,Danh từ,SỰ HẠNG,hạng mục (công việc),matter,,FALSE,,
2135,苗条,miáotiao,Tính từ,MIÊU ĐIỀU,"thanh mảnh, mảnh mai, thon thả",slim,,FALSE,,
2136,身材,shēncái,Danh từ,THÂN TÀI,"vóc dáng, dáng người",figure,,FALSE,,
2137,警服,jǐngfú,Danh từ,CẢNH PHỤC,trang phục cảnh sát,Police uniform,,FALSE,,
2138,指挥,zhǐhuī,"Danh từ, Động từ",CHỈ HUY,(n): người chỉ huy; (v): chỉ huy,command,,FALSE,,
2139,迷人,mírén,Tính từ,MÊ NHÂN,"quyến rũ, cuốn hút, lôi cuốn",charming,,FALSE,,
2140,壮美,zhuàngměi,Tính từ,TRÁNG MỸ,"tráng lệ, hoa mỹ, lộng lẫy",Magnificent,,FALSE,,
2141,单位,dānwèi,Danh từ,ĐƠN VỊ,"đơn vị, cơ quan",unit,,FALSE,,
2142,伴着,bànzhe,Động từ,BẠN TRƯỚC,"đồng hành, cùng",With,,FALSE,,
2143,铃声,língshēng,Danh từ,LINH THANH,tiếng chuông,ring,,FALSE,,
2144,逆境,nìjìng,Danh từ,NGHỊCH CẢNH ,nghịch cảnh (hoàn cảnh bất lợi),adversity,,FALSE,,
2145,求婚,qiúhūn,Động từ,CẦU HÔN,cầu hôn,Proposal,,FALSE,,
2146,相爱,xiāngài,Động từ,TƯƠNG ÁI,yêu nhau,Love,,FALSE,,
2147,携手,xiéshǒu,Động từ,HUỀ THỦ,"cùng nhau, nắm tay nhau, chung tay, bắt tay, hợp tác",Join hands,,FALSE,,
